lead_id,lead_indicator,date_part,is_active,marketing_consent,first_booking,existing_customer,last_seen,source,domain,country,visited_learn_more_before_booking,visited_faq,purchases,time_spent,customer_group,onboarding,customer_code,n_visits
0,0,2024-01-24,0,true,2024-01-25,false,2024-01-13,organic,.dk,US,8,10,5,115.06439854454193,2,True,,9
1,,2024-01-1,1,true,2024-01-24,false,2024-01-6,signup,.dk,US,0,3,5,119.90744590840583,2,False,AGMVEYWACO,1
2,1,2024-01-27,0,true,2024-01-30,true,2024-01-30,signup,.dk,DK,7,10,3,100.4736704078088,5,False,STWPXVNOWA,16
3,1,2024-01-28,0,false,2024-01-10,false,2024-01-11,li,.cn,US,10,10,4,98.57169113832701,4,True,HZOKZERLZD,16
4,0,2024-01-5,0,true,2024-01-30,true,2024-01-25,fb,.com,US,5,1,5,101.9962418620627,9,False,CVLIHCAPZN,2
5,0,2024-01-9,1,true,2024-01-3,false,2024-01-6,fb,.dk,CN,3,6,1,109.42999013164552,1,True,UZIKGEBJHZ,3
6,0,2024-01-12,1,true,2024-01-21,false,2024-01-27,li,.dk,DK,3,11,2,91.41796681932466,2,True,IFNHUGEULO,2
7,1,2024-01-9,0,false,2024-01-6,true,2024-01-11,li,.com,DK,3,0,2,103.70968478550506,3,False,KZECUKQTDO,16
8,1,2024-01-18,0,true,2024-01-21,true,2024-01-31,organic,.dk,US,0,16,8,99.03540275352083,8,True,DESWCPDDNA,13
9,1,2024-01-23,1,false,2024-01-8,false,2024-01-19,organic,.dk,DK,1,0,4,98.00849021457125,5,True,ZUOMBTHDOK,11
10,0,2024-01-11,0,true,2024-01-5,true,2024-01-17,signup,.dk,DK,0,9,8,105.89892497880784,4,True,JWLXPVANUM,4
11,,2024-01-1,1,true,2024-01-8,false,2024-01-25,fb,.cn,CN,0,4,6,84.69151757247658,8,False,RYSFOXZTGD,5
12,1,2024-01-19,0,true,2024-01-10,true,2024-01-3,organic,.dk,CN,0,0,4,111.16002088478342,3,False,DCPRVJRRCO,14
13,0,2024-01-22,0,true,2024-01-31,true,2024-01-1,signup,.dk,DK,0,5,6,86.71722459773868,6,True,WNKCTHUHYI,5
14,0,2024-01-25,1,true,2024-01-26,false,2024-01-16,fb,.com,CN,16,0,4,75.39487362927497,5,False,ONSZGMJHBQ,3
15,0,2024-01-10,0,true,2024-01-30,true,2024-01-12,organic,.com,DK,0,10,8,100.94071322690085,3,True,YGTBRBGUBZ,7
16,0,2024-01-2,0,true,2024-01-19,false,2024-01-27,fb,.cn,CN,2,3,4,94.66887168759652,5,True,TFWWHDORPL,4
17,1,2024-01-7,0,true,2024-01-21,true,2024-01-14,signup,.com,US,2,3,5,106.95199923447055,8,False,INIQMTGGOO,8
18,0,2024-01-31,1,true,2024-01-4,true,2024-01-18,li,.com,CN,5,5,3,87.68873182442283,9,False,OEQZTOIAYB,3
19,0,2024-01-20,1,false,2024-01-29,false,2024-01-28,signup,.cn,US,0,0,3,94.66798969022713,9,True,SJGDAANOYJ,20
20,1,2024-01-2,0,false,2024-01-27,false,2024-01-3,li,.dk,CN,2,3,6,80.29441459370392,1,True,BNZFSZGFAG,16
21,0,2024-01-19,0,true,2024-01-6,true,2024-01-24,li,.com,DK,7,5,3,93.06855838131139,7,True,USWVYZUYXP,4
22,0,2024-01-6,0,true,2024-01-3,false,2024-01-8,signup,.com,DK,12,5,5,83.24937281486473,3,True,SPWNMQUWDX,2
23,0,2024-01-10,0,false,2024-01-28,false,2024-01-18,li,.cn,US,2,8,6,88.17100298385269,2,True,MLJSQLJSKJ,9
24,0,2024-01-9,1,false,2024-01-26,false,2024-01-16,fb,.com,US,1,0,6,93.14653735029023,5,False,QXZOZPIDPQ,3
25,1,2024-01-8,1,false,2024-01-4,false,2024-01-15,organic,.com,DK,11,0,5,90.9798167255751,6,False,ULUTUIKRRI,6
26,0,2024-01-26,1,true,2024-01-27,true,2024-01-22,organic,.dk,CN,1,2,3,96.03919399248025,4,True,NWZESUDMLK,3
27,1,2024-01-30,0,true,2024-01-4,false,2024-01-2,signup,.cn,US,1,4,2,112.00090426161911,1,True,IAPSPPLUZL,15
28,1,2024-01-11,0,true,2024-01-5,true,2024-01-29,signup,.dk,DK,2,0,3,74.75867273317984,8,True,EDWMENKILD,22
29,0,2024-01-9,1,true,2024-01-27,false,2024-01-16,signup,.dk,CN,0,4,6,114.65336143583443,3,False,DNGAQVVEDN,1
30,1,2024-01-20,0,true,2024-01-15,false,2024-01-23,signup,.dk,DK,0,1,5,119.39123114653421,4,False,WSQVNMPZOH,6
31,0,2024-01-28,0,true,2024-01-16,false,2024-01-29,fb,.cn,DK,2,6,2,110.64535431867468,1,True,FXVKWIERCX,7
32,0,2024-01-20,1,true,2024-01-6,false,2024-01-31,signup,.com,CN,3,1,4,86.70723555769624,9,False,GKIHITQJGU,7
33,1,2024-01-31,0,true,2024-01-18,true,2024-01-10,signup,.dk,CN,7,0,5,116.60042507974538,4,True,QOVDCTYYGT,12
34,,2024-01-9,1,true,2024-01-26,false,2024-01-27,organic,.cn,CN,0,0,4,102.20368241131419,5,True,HCIPDLYGYO,2
35,1,2024-01-8,0,true,2024-01-12,false,2024-01-11,fb,.com,CN,7,2,5,105.04152821558554,1,True,UUQVNHSVAC,5
36,0,2024-01-28,0,false,2024-01-24,true,2024-01-19,signup,.cn,DK,0,10,3,97.2485415667545,6,True,KYUCVVIKET,4
37,0,2024-01-15,0,false,2024-01-20,false,2024-01-24,fb,.dk,DK,2,1,5,83.62021775206611,4,True,BYIAYBBUQY,10
38,1,2024-01-2,0,true,2024-01-7,false,2024-01-19,signup,.cn,DK,3,1,5,119.59333357187066,2,True,HFELNNHTEW,9
39,0,2024-01-24,0,false,2024-01-23,false,2024-01-10,fb,.dk,CN,0,3,5,93.11503178569048,6,True,OKRIVUYHYW,3
40,0,2024-01-1,1,true,2024-01-12,false,2024-01-22,signup,.cn,DK,6,5,5,96.71810832286512,3,False,HOVYUZIDIO,4
41,0,2024-01-9,1,true,2024-01-14,true,2024-01-17,signup,.dk,DK,7,4,4,94.5664266108652,6,False,BBRMJIJJBF,2
42,0,2024-01-9,0,false,2024-01-13,true,2024-01-24,fb,.com,CN,2,1,10,102.31995740455405,1,False,HSQEMOHPZP,1
43,1,2024-01-13,0,true,2024-01-26,true,2024-01-23,signup,.cn,CN,8,1,11,96.36995063138745,4,False,PWSIBFQQXN,13
44,0,2024-01-31,1,true,2024-01-11,true,2024-01-1,signup,.cn,US,0,4,8,84.03568573138168,8,True,XNVURJEHVZ,2
45,1,2024-01-8,1,true,2024-01-11,false,2024-01-30,fb,.com,CN,0,2,7,99.78075466025679,3,False,UMGVSUPDUV,21
46,0,2024-01-27,0,true,2024-01-2,false,2024-01-30,organic,.dk,DK,1,4,10,106.93875760413567,6,False,HAUZHOWCXX,2
47,1,2024-01-21,1,true,2024-01-14,true,2024-01-7,li,.dk,CN,5,2,3,101.35528656715938,6,True,EFENWKONOD,17
48,1,2024-01-5,1,true,2024-01-15,false,2024-01-16,organic,.dk,US,8,0,5,73.92048783293399,3,True,LTACCNLMUS,14
49,0,2024-01-29,1,true,2024-01-23,false,2024-01-11,signup,.com,US,0,6,8,98.41382937085122,1,False,CPADDAXJVL,10
