,lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code
0,2,0.0,2024-01-06,signup,5,True,AAAEJOLSFX
1,10,,,,,,AACEDUWABX
2,13,,,,,,AAJURHRBIM
3,17,,,,,,AAMFOUYNWS
4,19,,,,,,AAXKODEIPG
5,22,,,,,,ABDZNSNDWE
6,27,,,,,,ABKNDWRTIM
7,28,,,,,,ABTSQBEZQR
8,29,,,,,,ABVBRHFQEU
9,30,,,,,,ABWJHHOOBT
10,32,,,,,,ABYRDNVMHG
11,33,,,,,,ACFSSZZNVZ
12,36,,,,,,ACGNMOMNLJ
13,38,,,,,,ACJHDYBUCE
14,40,,,,,,ACJJTWTJOQ
15,41,,,,,,ACXCBUSBJL
16,43,,,,,,ACYPUVHSOW
17,44,,,,,,ADFDXVYUVU
18,49,,,,,,ADKNQXITXD
19,55,,,,,,AEDBKAEPDM
20,57,,,,,,AEGDZBQHKR
21,58,,,,,,AEMGNGUOJT
22,61,,,,,,AEMOQPZTTB
23,68,,,,,,AFDHDEINEJ
24,72,,,,,,AFDIUPZXKT
25,87,,,,,,AFRHWOMSUN
26,88,,,,,,AGASPSNLCF
27,93,,,,,,AGJLWXBXYN
28,95,,,,,,AGKFSPREAL
29,97,,,,,,AGVKVNBNXN
30,104,,,,,,AGXCHWVNUU
31,107,,,,,,AIBXDAMJDE
32,109,,,,,,AIEGGEZJQZ
33,110,,,,,,AIGRJOYFEM
34,112,,,,,,AILCVRCBNV
35,116,,,,,,AINJTQPECE
36,126,,,,,,AIPNAALQUK
37,130,,,,,,AIZFXXNYVF
38,133,,,,,,AJNLYNBTPO
39,141,,,,,,AJPXNEYHEH
40,142,,,,,,AJTXKCIAPG
41,146,,,,,,AKFUINNLTI
42,148,,,,,,AKIQWCJTOO
43,152,,,,,,AKJLYQPNXV
44,160,,,,,,AKRULLBMLT
45,167,,,,,,ALBWFMQLGR
46,169,,,,,,ALFDMXVQXB
47,183,,,,,,ALLOPYHURT
48,185,,,,,,ALOKFRULOE
49,186,,,,,,ALRDCIXDLP
50,188,,,,,,ALVSZMFNUD
51,189,,,,,,ALWLXUCJVH
52,190,,,,,,ALZAHKARTP
53,191,,,,,,AMRPNFCPFD
54,194,,,,,,AMZNKKRAIL
55,197,,,,,,ANBQIPAHZW
