lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code,purchases,time_spent,n_visits
2,1.0,2024-01-27,signup,5,False,STWPXVNOWA,0.271611825747159,0.512086024922989,0.7030933997370894
10,0.0,2024-01-11,signup,4,True,JWLXPVANUM,0.832367608877567,0.6483304861554644,0.14061867994741786
13,0.0,2024-01-22,signup,6,True,WNKCTHUHYI,0.6080652956254038,0.1666202917783024,0.18749157326322383
17,1.0,2024-01-07,signup,8,False,INIQMTGGOO,0.49591413899932213,0.6747763483215481,0.3281102532106417
19,0.0,2024-01-20,signup,9,True,SJGDAANOYJ,0.271611825747159,0.36628791884277456,0.8905849730003133
22,0.0,2024-01-06,signup,3,True,SPWNMQUWDX,0.49591413899932213,0.07953210234708541,0.04687289331580596
27,1.0,2024-01-30,signup,1,True,IAPSPPLUZL,0.15946066912107737,0.8015695404631513,0.6562205064212835
28,1.0,2024-01-11,signup,8,True,EDWMENKILD,0.271611825747159,0.0,0.9843307596319252
29,0.0,2024-01-09,signup,3,False,DNGAQVVEDN,0.6080652956254038,0.8681807185956885,0.0
30,1.0,2024-01-20,signup,4,False,WSQVNMPZOH,0.49591413899932213,0.9871628783591304,0.23436446657902976
32,0.0,2024-01-20,signup,9,False,GKIHITQJGU,0.3837629823732406,0.166369436936193,0.2812373598948357
33,1.0,2024-01-31,signup,4,True,QOVDCTYYGT,0.49591413899932213,0.9170773433859858,0.5156018264738655
36,0.0,2024-01-28,signup,6,True,KYUCVVIKET,0.271611825747159,0.4310933386620297,0.14061867994741786
38,1.0,2024-01-02,signup,2,True,HFELNNHTEW,0.49591413899932213,0.9922382781755621,0.37498314652644765
40,0.0,2024-01-01,signup,3,False,HOVYUZIDIO,0.49591413899932213,0.41777256438540533,0.14061867994741786
41,0.0,2024-01-09,signup,6,False,BBRMJIJJBF,0.3837629823732406,0.36373736442220483,0.04687289331580596
43,1.0,2024-01-13,signup,4,False,PWSIBFQQXN,0.9999999999999999,0.4090292775076092,0.5624747197896716
44,0.0,2024-01-31,signup,8,True,XNVURJEHVZ,0.832367608877567,0.09927878487948893,0.04687289331580596
49,0.0,2024-01-29,signup,1,False,CPADDAXJVL,0.832367608877567,0.4603572205632793,0.4218560398422536
55,1.0,2024-01-16,signup,9,False,ZQFIPOQZHG,0.9445187655036485,0.388960148064061,0.23436446657902976
57,0.0,2024-01-31,signup,9,False,JFLRBCHQYR,0.6080652956254038,0.2574586735983879,0.0937457866316119
58,0.0,2024-01-26,signup,7,True,SOMOYBNEQM,0.9999999999999999,0.500859140967024,0.23436446657902976
61,0.0,2024-01-03,signup,6,True,BTDCFQUACC,0.6080652956254038,0.594909759658738,0.6093476131054775
68,0.0,2024-01-02,signup,9,False,HTUIUEAPSS,0.6080652956254038,0.3559622402546956,0.18749157326322383
72,0.0,2024-01-15,signup,5,True,KQAKBGLQBJ,0.3837629823732406,0.7149028585520303,0.04687289331580596
87,1.0,2024-01-26,signup,7,False,XJMJZQDDJC,0.271611825747159,0.7926915539965163,0.4218560398422536
88,1.0,2024-01-19,signup,5,False,ILBYCVCCZP,0.49591413899932213,0.3035231713990538,0.18749157326322383
93,1.0,2024-01-12,signup,3,True,BNJNDMKIOK,0.7202164522514855,0.8926997795030327,0.3281102532106417
95,0.0,2024-01-07,signup,1,False,JBJDCNSVYQ,0.49591413899932213,0.5153025079519198,0.18749157326322383
97,0.0,2024-01-12,signup,3,False,EVTQSTMJAY,0.15946066912107737,0.571369175499755,0.4687289331580596
104,1.0,2024-01-02,signup,1,True,IROQPSWYUC,0.3837629823732406,0.07692044291358213,0.6562205064212835
107,1.0,2024-01-17,signup,2,True,YHGCDBUZOO,0.9999999999999999,0.5695791436043018,0.5624747197896716
109,0.0,2024-01-23,signup,2,True,TUKZRKNGZC,0.271611825747159,0.3627850740264744,0.0
110,0.0,2024-01-01,signup,4,True,NWTUJSIWDD,0.6080652956254038,0.7026395712495574,0.14061867994741786
112,1.0,2024-01-18,signup,4,True,BPQXMGSSGK,0.271611825747159,0.6564622388775478,0.2812373598948357
116,1.0,2024-01-28,signup,3,False,ANVCOQDWPG,0.3837629823732406,0.539155043596943,1.0
126,1.0,2024-01-12,signup,3,True,NBUXBYCSKE,0.3837629823732406,0.33195142679546263,0.8437120796845072
130,0.0,2024-01-04,signup,5,True,FBOBLIOYHV,0.49591413899932213,0.7826939604789338,0.18749157326322383
133,0.0,2024-01-12,signup,5,True,TLHITDPRSA,0.7202164522514855,0.3263166099714323,0.23436446657902976
141,0.0,2024-01-01,signup,7,False,JMFONJZUPE,0.6080652956254038,0.048627872185767806,0.3281102532106417
142,0.0,2024-01-17,signup,9,False,KNDCQISUNM,0.3837629823732406,0.7846989429595821,0.3281102532106417
146,1.0,2024-01-25,signup,9,False,UKEAVDRBIM,0.832367608877567,0.5211776310544236,0.9374578663161192
148,0.0,2024-01-13,signup,2,True,VIQNDTATLY,0.271611825747159,0.7793431087655689,0.23436446657902976
152,0.0,2024-01-29,signup,2,False,PKMEXRHJWN,0.7202164522514855,0.5393259609449208,0.04687289331580596
160,0.0,2024-01-23,signup,7,False,PJACVAGSNN,0.832367608877567,1.0000000000000004,0.04687289331580596
167,0.0,2024-01-18,signup,1,False,MNCSDIPRDF,0.6080652956254038,0.35252248437259803,0.14061867994741786
169,1.0,2024-01-20,signup,6,False,CNNNKVXVBZ,0.3837629823732406,0.5072662226243541,0.6093476131054775
