mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0013145605723063152,0.0018590693899165282,0.0,0.0,sag,none,100.0,"{'solver': 'sag', 'penalty': 'none', 'C': 100}",,,,,,4
0.0019299983978271484,0.0014630971903722874,0.0,0.0,newton-cg,elasticnet,10.0,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 10}",,,,,,4
0.010217905044555664,0.004429086759096008,0.0018575986226399739,0.0015175346909074808,liblinear,l1,0.1,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}",0.8245192307692307,0.7980769230769231,0.8064903846153846,0.8096955128205128,0.011030368507961668,2
0.018497467041015625,0.008658593261498851,0.002089818318684896,0.00036867666048630206,lbfgs,l2,10.0,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 10}",0.8173076923076923,0.8040865384615384,0.8125,0.811298076923077,0.005464015102959082,1
0.0009563763936360677,0.0008223957889416066,0.0,0.0,liblinear,none,0.01,"{'solver': 'liblinear', 'penalty': 'none', 'C': 0.01}",,,,,,4
0.002951939900716146,0.0013696386073393633,0.0,0.0,sag,none,0.1,"{'solver': 'sag', 'penalty': 'none', 'C': 0.1}",,,,,,4
0.001607815424601237,0.0013026443294826958,0.0,0.0,liblinear,elasticnet,0.1,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,4
0.0015593369801839192,0.0012489607172138262,0.0,0.0,newton-cg,none,1.0,"{'solver': 'newton-cg', 'penalty': 'none', 'C': 1.0}",,,,,,4
0.0066606998443603516,0.0022929722209911268,0.002527634302775065,0.0024944348238283578,newton-cg,l2,0.01,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 0.01}",0.7800480769230769,0.7776442307692307,0.7680288461538461,0.7752403846153846,0.005192901200647306,3
0.0,0.0,0.0,0.0,liblinear,none,100.0,"{'solver': 'liblinear', 'penalty': 'none', 'C': 100}",,,,,,4
